method,budget,seed,cluster,attribute,attribute_type,margin,margin_bin,independent_groups,filtered_claims,correct,incorrect,low_margin,has_independent_support,n_attacked_records,n_duplicates
parc,0.2,0,K:E00035,city,categorical,7.1846487146871825,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00035,state,categorical,7.025228528328968,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00035,zip,categorical,4.393888984012046,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00035,category,categorical,7.1846487146871825,>=3,7,0,1,0,0,1,379,102
parc,0.2,0,K:E00035,revenue,numeric,1.91195663406572,"[1.5,3)",7,1,1,0,0,1,379,102
parc,0.2,0,K:E00035,employees,numeric,1.466338799630245,"[0.75,1.5)",7,0,1,0,0,1,379,102
parc,0.2,0,K:E00036,name,categorical,6.810267348227702,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00036,city,categorical,4.814789278710616,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00036,state,categorical,5.767474431092706,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00036,zip,categorical,5.240855147673978,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00036,category,categorical,5.373137048324811,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00036,revenue,numeric,1.91195663406572,"[1.5,3)",5,2,1,0,0,1,379,102
