method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1,operator_label
dependency_truth,0.25,9000,300,12,2289,160,0,outlier,1.0,coordinated,0.988095238095238,0.988095238095238,0.1029914125692357,1.0,0.8767075370200889,0.612262426999223,300.0,1.0,1.0,1.0,0.0,0.0,0.0045324950654287,0.0221843003412969,0.973661852166525,0.9778156996587032,1.0,1.0,1.0,outlier
parc,0.25,9000,300,12,2289,160,0,outlier,1.0,coordinated,0.988095238095238,0.988095238095238,0.1029914125692357,1.0,0.8767075370200889,0.5867020629993931,300.0,1.0,1.0,1.0,0.0,0.0,0.0045324950654287,0.0221843003412969,0.973661852166525,0.9778156996587032,1.0,1.0,1.0,outlier
majority,0.25,9001,300,12,2300,163,0,outlier,1.0,coordinated,0.99,0.99,0.0654785902261293,0.9955555555555556,0.933416110959915,0.2163653720008369,300.0,1.0,1.0,1.0,0.0,0.0,0.0027926635972526,0.0192914766748509,0.986939639957642,0.980708523325149,0.0,0.0,0.0,outlier
dependency_truth,0.25,9001,300,12,2300,163,0,outlier,1.0,coordinated,0.9904761904761904,0.9904761904761904,0.0522777690006117,1.0,0.9468397661223488,0.6168914360005147,300.0,1.0,1.0,1.0,0.0,0.0,0.0039248245150577,0.0150824272185198,0.9818181818181818,0.9849175727814802,1.0,1.0,1.0,outlier
parc,0.25,9001,300,12,2300,163,0,outlier,1.0,coordinated,0.9904761904761904,0.9904761904761904,0.0522777690006117,1.0,0.9468397661223488,0.6146552560003329,300.0,1.0,1.0,1.0,0.0,0.0,0.0039248245150577,0.0150824272185198,0.9818181818181818,0.9849175727814802,1.0,1.0,1.0,outlier
majority,0.25,9002,300,12,2285,174,0,outlier,1.0,coordinated,0.9928571428571428,0.9928571428571428,0.0467416981700442,1.0,0.9507267992230752,0.2200706819994593,300.0,1.0,1.0,1.0,0.0,0.0,0.0019933554817275,0.0155102040816326,0.988929889298893,0.9844897959183674,0.0,0.0,0.0,outlier
dependency_truth,0.25,9002,300,12,2285,174,0,outlier,1.0,coordinated,0.9909523809523808,0.9909523809523808,0.0343005166287001,1.0,0.9638417877662532,0.6021504880000066,300.0,1.0,1.0,1.0,0.0,0.0,0.003469915097822,0.0110204081632653,0.9809716599190283,0.9889795918367348,1.0,1.0,1.0,outlier
parc,0.25,9002,300,12,2285,174,0,outlier,1.0,coordinated,0.9909523809523808,0.9909523809523808,0.0343005166287001,1.0,0.9638417877662532,0.6054225079997195,300.0,1.0,1.0,1.0,0.0,0.0,0.003469915097822,0.0110204081632653,0.9809716599190283,0.9889795918367348,1.0,1.0,1.0,outlier
majority,0.25,9000,300,12,2289,0,0,provenance,1.0,coordinated,0.9990476190476192,0.9990476190476192,0.0126613346669297,1.0,0.8736353188941521,0.214180099999794,300.0,1.0,1.0,1.0,0.0,0.0,0.0002844950213371,0.0020376974019358,0.9979623025980642,0.9979623025980642,0.0,0.0,0.0,provenance
dependency_truth,0.25,9000,300,12,2289,0,0,provenance,1.0,coordinated,1.0,1.0,9.083714088229023e-05,1.0,0.9990934126107464,0.6004505099999733,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0005094243504839,1.0,0.999490575649516,1.0,0.4444444444444444,0.6153846153846153,provenance
parc,0.25,9000,300,12,2289,0,0,provenance,1.0,coordinated,1.0,1.0,9.083714088229023e-05,1.0,0.9990934126107464,0.5886758080005166,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0005094243504839,1.0,0.999490575649516,1.0,0.4444444444444444,0.6153846153846153,provenance
majority,0.25,9001,300,12,2300,0,0,provenance,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0063463763279586,0.9955555555555556,0.9574354866861042,0.2398665139999138,300.0,1.0,1.0,1.0,0.0,0.0,0.0006633254716981,0.0055292259083728,0.996438464582509,0.9944707740916272,0.0,0.0,0.0,provenance
dependency_truth,0.25,9001,300,12,2300,0,0,provenance,1.0,coordinated,0.9971428571428572,0.9971428571428572,0.0075045392802601,1.0,0.9496678032309448,0.7141304169999785,300.0,1.0,1.0,1.0,0.0,0.0,0.0010318396226415,0.0039494470774091,0.9944794952681388,0.9960505529225908,1.0,0.4444444444444444,0.6153846153846153,provenance
parc,0.25,9001,300,12,2300,0,0,provenance,1.0,coordinated,0.9971428571428572,0.9971428571428572,0.0075045392802601,1.0,0.9496678032309448,0.8546010220006792,300.0,1.0,1.0,1.0,0.0,0.0,0.0010318396226415,0.0039494470774091,0.9944794952681388,0.9960505529225908,1.0,0.4444444444444444,0.6153846153846153,provenance
majority,0.25,9002,300,12,2285,0,0,provenance,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0030659413977231,1.0,0.9743406205195986,0.2616254450003907,300.0,1.0,1.0,1.0,0.0,0.0,0.0004310964218996,0.0038517091959557,0.9971084337349396,0.9961482908040444,0.0,0.0,0.0,provenance
dependency_truth,0.25,9002,300,12,2285,0,0,provenance,1.0,coordinated,0.998095238095238,0.998095238095238,0.0014744071767843,1.0,0.9876604382308704,0.6047944300007657,300.0,1.0,1.0,1.0,0.0,0.0,0.0006466446328495,0.0024073182474723,0.995675156174916,0.9975926817525276,1.0,0.6666666666666666,0.8,provenance
parc,0.25,9002,300,12,2285,0,0,provenance,1.0,coordinated,0.998095238095238,0.998095238095238,0.0014744071767843,1.0,0.9876604382308704,0.6164528389999759,300.0,1.0,1.0,1.0,0.0,0.0,0.0006466446328495,0.0024073182474723,0.995675156174916,0.9975926817525276,1.0,0.6666666666666666,0.8,provenance
majority,0.25,9000,300,12,2289,187,0,schema,1.0,coordinated,0.998095238095238,0.998095238095238,0.014672981832647,1.0,0.9775050048533084,0.2185810239998318,300.0,1.0,1.0,1.0,0.0,0.0,0.0005100925453618,0.0030434782608695,0.9969565217391304,0.9969565217391304,0.0,0.0,0.0,schema
dependency_truth,0.25,9000,300,12,2289,187,0,schema,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0046903540596813,1.0,0.9928092671951628,1.0668900000000576,300.0,1.0,1.0,1.0,0.0,0.0,0.0010201850907236,0.0043478260869565,0.9939236111111112,0.9956521739130436,1.0,1.0,1.0,schema
parc,0.25,9000,300,12,2289,187,0,schema,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0046903540596813,1.0,0.9928092671951628,0.8117187099996954,300.0,1.0,1.0,1.0,0.0,0.0,0.0010201850907236,0.0043478260869565,0.9939236111111112,0.9956521739130436,1.0,1.0,1.0,schema
majority,0.25,9001,300,12,2300,196,0,schema,1.0,coordinated,0.9961904761904762,0.9961904761904762,0.0117173561695493,0.9944444444444444,0.9817267345379204,0.2461237909992633,300.0,1.0,1.0,1.0,0.0,0.0,0.0006013229104028,0.0050071530758226,0.9971326164874552,0.9949928469241774,0.0,0.0,0.0,schema
dependency_truth,0.25,9001,300,12,2300,196,0,schema,1.0,coordinated,0.9971428571428572,0.9971428571428572,0.0075045392802601,1.0,0.9882966399199188,0.716718769000181,300.0,1.0,1.0,1.0,0.0,0.0,0.0009771497294046,0.0035765379113018,0.9953554841014648,0.996423462088698,1.0,1.0,1.0,schema
parc,0.25,9001,300,12,2300,196,0,schema,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0075045392802601,1.0,0.9882966399199188,0.7933008689997223,300.0,1.0,1.0,1.0,0.0,0.0,0.0012026458208057,0.0046494992846924,0.9942836727402644,0.9953505007153076,1.0,1.0,1.0,schema
majority,0.25,9002,300,12,2285,184,0,schema,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.0030659413977231,1.0,0.9948569158920604,0.239871998000126,300.0,1.0,1.0,1.0,0.0,0.0,0.000438660622898,0.0034527406128614,0.9974082073434124,0.9965472593871384,0.0,0.0,0.0,schema
dependency_truth,0.25,9002,300,12,2285,184,0,schema,1.0,coordinated,0.998095238095238,0.998095238095238,0.0008884401513542,1.0,0.9985096510890004,0.7120317080007226,300.0,1.0,1.0,1.0,0.0,0.0,0.0005117707267144,0.0021579628830384,0.9969814575247952,0.9978420371169616,1.0,1.0,1.0,schema
parc,0.25,9002,300,12,2285,184,0,schema,1.0,coordinated,0.998095238095238,0.998095238095238,0.0008884401513542,1.0,0.9985096510890004,0.7761384539999199,300.0,1.0,1.0,1.0,0.0,0.0,0.0005117707267144,0.0021579628830384,0.9969814575247952,0.9978420371169616,1.0,1.0,1.0,schema
